Model,RMSE,MAE,R2,Scenario,Seed
Baseline KAN,0.08426835044182437,0.07189234346151352,-0.00021445751190185547,urban,42
Qi-KAN (Proposed),0.0529085105500652,0.040120214223861694,0.605710506439209,urban,42
Baseline KAN,0.08248225617329442,0.07082182168960571,-0.0008118152618408203,urban,123
Qi-KAN (Proposed),0.07706311795546898,0.06550436466932297,0.12637609243392944,urban,123
Baseline KAN,0.08351661474571018,0.07031188160181046,-0.0005944967269897461,urban,456
Qi-KAN (Proposed),0.0760686339800126,0.06066093593835831,0.16991305351257324,urban,456
Baseline KAN,0.0827221273843151,0.07103557884693146,-4.9591064453125e-05,urban,789
Qi-KAN (Proposed),0.07444798367232061,0.058836665004491806,0.19000190496444702,urban,789
Baseline KAN,0.08341852846183377,0.07144337147474289,-0.000996232032775879,urban,1011
Qi-KAN (Proposed),0.0720626454810918,0.06046836078166962,0.2529875636100769,urban,1011
Baseline KAN,0.0706292046554926,0.05529586598277092,-0.001148819923400879,remote,42
Qi-KAN (Proposed),0.04320736623462949,0.013693026266992092,0.6253328919410706,remote,42
Baseline KAN,0.06358500534173007,0.054176319390535355,-0.00010669231414794922,remote,123
Qi-KAN (Proposed),0.02974799155300963,0.013377978466451168,0.7810967564582825,remote,123
Baseline KAN,0.06609402211225691,0.05473757162690163,-7.43865966796875e-05,remote,456
Qi-KAN (Proposed),0.04309972665616674,0.0270980354398489,0.5747376084327698,remote,456
Baseline KAN,0.0652005824775545,0.054824348539114,-8.046627044677734e-05,remote,789
Qi-KAN (Proposed),0.03514771722187838,0.01664678007364273,0.7093794345855713,remote,789
Baseline KAN,0.06530773483693586,0.054549604654312134,-0.00025773048400878906,remote,1011
Qi-KAN (Proposed),0.03579477593573325,0.017986003309488297,0.6995155811309814,remote,1011
